Unnamed: 0,Released,Released.1,Title,Genre,Production Method,Creative Type,Production Budget,Domestic Box Office,International Box Office,Worldwide Box Office
66,"Jul 6, 2001",2001,Kiss of the Dragon,Action,Live Action,Contemporary Fiction,"$25,000,000","$36,833,473",$0,"$36,833,473"
67,"Feb 16, 2001",2001,Recess: School's Out,Adventure,Live Action,Kids Fiction,"$10,000,000","$36,696,761","$7,754,709","$44,451,470"
68,"Nov 23, 2001",2001,In the Bedroom,Drama,Live Action,Contemporary Fiction,"$1,700,000","$35,930,604","$6,207,267","$42,137,871"
69,"Nov 21, 2001",2001,Black Knight,Adventure,Live Action,Kids Fiction,"$35,000,000","$33,422,806",$0,"$33,422,806"
70,"Mar 2, 2001",2001,See Spot Run,Adventure,Live Action,Kids Fiction,"$16,000,000","$33,357,476","$9,700,076","$43,057,552"
71,"Nov 2, 2001",2001,Le Fabuleux destin d'Amélie Poulain,Romantic Comedy,Live Action,Contemporary Fiction,"$10,350,000","$33,201,661","$140,994,099","$174,195,760"
72,"Apr 27, 2001",2001,Driven,Action,Live Action,Contemporary Fiction,"$72,000,000","$32,616,869","$22,000,000","$54,616,869"
73,"Jun 1, 2001",2001,What's the Worst That Could Happen?,Comedy,Live Action,Contemporary Fiction,"$30,000,000","$32,267,774","$6,194,297","$38,462,071"
74,"Jul 11, 2001",2001,Final Fantasy: The Spirits Within,Adventure,Digital Animation,Science Fiction,"$137,000,000","$32,131,830","$53,000,000","$85,131,830"
75,"Oct 19, 2001",2001,From Hell,Thriller/Suspense,Live Action,Historical Fiction,"$35,000,000","$31,598,308","$37,114,057","$68,712,365"
76,"Dec 26, 2001",2001,Monster's Ball,Drama,Live Action,Contemporary Fiction,"$4,000,000","$31,273,922","$12,492,541","$43,766,463"
77,"Dec 21, 2001",2001,How High,Comedy,Live Action,Contemporary Fiction,"$12,000,000","$31,155,435","$66,960","$31,222,395"
78,"Aug 24, 2001",2001,Jay and Silent Bob Strike Back,Comedy,Live Action,Contemporary Fiction,"$22,000,000","$30,059,386","$3,703,014","$33,762,400"
79,"Jan 12, 2001",2001,Double Take,Action,Live Action,Contemporary Fiction,"$24,000,000","$29,823,162",$0,"$29,823,162"
80,"Oct 19, 2001",2001,Riding in Cars with Boys,Drama,Live Action,Dramatization,"$47,000,000","$29,781,453",$0,"$29,781,453"
81,"Jun 27, 2001",2001,Baby Boy,Drama,Live Action,Contemporary Fiction,"$16,000,000","$28,734,552",$0,"$28,734,552"
82,"Dec 21, 2001",2001,The Majestic,Drama,Live Action,Historical Fiction,"$72,000,000","$27,796,042","$9,510,292","$37,306,334"
83,"Mar 23, 2001",2001,The Brothers,Comedy,Live Action,Contemporary Fiction,"$6,000,000","$27,457,409","$500,782","$27,958,191"
84,"Mar 30, 2001",2001,Someone Like You,Romantic Comedy,Live Action,Contemporary Fiction,"$23,000,000","$27,338,033","$11,346,873","$38,684,906"
85,"Apr 11, 2001",2001,Joe Dirt,Comedy,Live Action,Contemporary Fiction,"$16,000,000","$27,087,695","$3,900,000","$30,987,695"
86,"Sep 7, 2001",2001,The Musketeer,Adventure,Live Action,Historical Fiction,"$40,000,000","$27,053,815",$0,"$27,053,815"
87,"Apr 20, 2001",2001,Crocodile Dundee in Los Angeles,Adventure,Live Action,Contemporary Fiction,"$25,000,000","$25,590,119","$13,802,992","$39,393,111"
88,"Mar 16, 2001",2001,Memento,Thriller/Suspense,Live Action,Contemporary Fiction,"$5,000,000","$25,544,867","$14,174,564","$39,719,431"
89,"Aug 17, 2001",2001,Captain Corelli's Mandolin,Drama,Live Action,Historical Fiction,"$57,000,000","$25,528,495","$36,569,000","$62,097,495"
90,"Feb 16, 2001",2001,Sweet November,Drama,Live Action,Contemporary Fiction,"$40,000,000","$25,288,103","$40,466,125","$65,754,228"
91,"Mar 9, 2001",2001,15 Minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"$42,000,000","$24,375,436","$31,956,428","$56,331,864"
92,"Sep 28, 2001",2001,Hearts in Atlantis,Drama,Live Action,Fantasy,"$31,000,000","$24,185,781","$6,700,000","$30,885,781"
93,"May 18, 2001",2001,Angel Eyes,Drama,Live Action,Contemporary Fiction,"$38,000,000","$24,044,532","$5,500,000","$29,544,532"
94,"Oct 12, 2001",2001,Corky Romano,Comedy,Live Action,Contemporary Fiction,"$11,000,000","$23,978,402","$1,137,701","$25,116,103"
95,"Nov 9, 2001",2001,Heist,Action,Live Action,Contemporary Fiction,"$35,000,000","$23,483,357","$5,423,460","$28,906,817"
96,"Apr 11, 2001",2001,Kingdom Come,Comedy,Live Action,Contemporary Fiction,"$7,000,000","$23,247,539","$146,400","$23,393,939"
97,"Dec 21, 2001",2001,Joe Somebody,Comedy,Live Action,Contemporary Fiction,"$38,000,000","$22,770,864","$1,745,126","$24,515,990"
98,"Sep 7, 2001",2001,Two Can Play That Game,Romantic Comedy,Live Action,Contemporary Fiction,"$13,000,000","$22,235,901","$155,549","$22,391,450"
99,"Oct 5, 2001",2001,Joy Ride,Thriller/Suspense,Live Action,Contemporary Fiction,"$23,000,000","$21,973,182","$231,708","$22,204,890"
100,"Feb 2, 2001",2001,Valentine,Horror,Live Action,Contemporary Fiction,"$10,000,000","$20,384,136",$0,"$20,384,136"
1,"May 3, 2002",2002,Spider-Man,Adventure,Live Action,Super Hero,"$139,000,000","$403,706,375","$418,000,000","$821,706,375"
2,"Dec 18, 2002",2002,The Lord of the Rings: The Two Towers,Adventure,Animation/Live Action,Fantasy,"$94,000,000","$342,548,984","$576,599,780","$919,148,764"
3,"May 16, 2002",2002,Star Wars Ep. II: Attack of the Clones,Adventure,Animation/Live Action,Science Fiction,"$115,000,000","$310,676,740","$346,018,875","$656,695,615"
4,"Nov 15, 2002",2002,Harry Potter and the Chamber of Secrets,Adventure,Animation/Live Action,Fantasy,"$100,000,000","$262,233,381","$612,720,847","$874,954,228"
5,"Apr 19, 2002",2002,My Big Fat Greek Wedding,Romantic Comedy,Live Action,Contemporary Fiction,"$5,000,000","$241,438,208","$133,451,826","$374,890,034"
6,"Aug 2, 2002",2002,Signs,Thriller/Suspense,Live Action,Science Fiction,"$70,702,619","$227,969,295","$180,281,283","$408,250,578"
7,"Jul 25, 2002",2002,Austin Powers in Goldmember,Comedy,Live Action,Contemporary Fiction,"$63,000,000","$213,117,789","$83,220,874","$296,338,663"
8,"Jul 3, 2002",2002,Men in Black 2,Action,Animation/Live Action,Science Fiction,"$140,000,000","$190,418,803","$251,349,000","$441,767,803"
9,"Mar 15, 2002",2002,Ice Age,Adventure,Digital Animation,Kids Fiction,"$65,000,000","$176,387,405","$209,728,938","$386,116,343"
10,"Dec 27, 2002",2002,Chicago,Musical,Live Action,Historical Fiction,"$30,000,000","$170,687,518","$136,083,027","$306,770,545"
11,"Dec 25, 2002",2002,Catch Me if You Can,Drama,Live Action,Dramatization,"$52,000,000","$164,606,800","$191,005,491","$355,612,291"
12,"Nov 22, 2002",2002,Die Another Day,Action,Live Action,Contemporary Fiction,"$142,000,000","$160,942,139","$271,000,000","$431,942,139"
13,"Jun 14, 2002",2002,Scooby-Doo,Adventure,Live Action,Kids Fiction,"$84,000,000","$153,294,164","$123,000,000","$276,294,164"
14,"Jun 21, 2002",2002,Lilo & Stitch,Adventure,Hand Animation,Kids Fiction,"$80,000,000","$145,771,527","$100,028,470","$245,799,997"
15,"Aug 9, 2002",2002,xXx,Action,Live Action,Contemporary Fiction,"$70,000,000","$141,930,000","$125,270,000","$267,200,000"
16,"Nov 1, 2002",2002,The Santa Clause 2,Adventure,Live Action,Kids Fiction,"$65,000,000","$139,225,854","$33,618,738","$172,844,592"
17,"Jun 21, 2002",2002,Minority Report,Action,Live Action,Science Fiction,"$102,000,000","$132,024,714","$226,800,000","$358,824,714"
18,"Oct 18, 2002",2002,The Ring,Horror,Live Action,Contemporary Fiction,"$48,000,000","$129,094,024","$119,124,462","$248,218,486"
19,"Sep 27, 2002",2002,Sweet Home Alabama,Comedy,Live Action,Contemporary Fiction,"$38,000,000","$127,214,072","$55,151,042","$182,365,114"
20,"Jun 28, 2002",2002,Mr. Deeds,Comedy,Live Action,Contemporary Fiction,"$50,000,000","$126,293,452","$44,976,083","$171,269,535"
21,"Jun 14, 2002",2002,The Bourne Identity,Thriller/Suspense,Live Action,Contemporary Fiction,"$60,000,000","$121,468,960","$92,888,411","$214,357,371"
22,"May 31, 2002",2002,The Sum of All Fears,Action,Live Action,Contemporary Fiction,"$68,000,000","$118,471,320","$75,028,680","$193,500,000"
23,"Nov 8, 2002",2002,8 Mile,Drama,Live Action,Contemporary Fiction,"$41,000,000","$116,724,075","$129,044,309","$245,768,384"
24,"Jul 12, 2002",2002,Road to Perdition,Drama,Live Action,Historical Fiction,"$80,000,000","$104,054,514","$79,300,000","$183,354,514"
25,"Mar 29, 2002",2002,Panic Room,Thriller/Suspense,Live Action,Contemporary Fiction,"$48,000,000","$95,308,367","$101,000,000","$196,308,367"
26,"Dec 13, 2002",2002,Maid in Manhattan,Romantic Comedy,Live Action,Contemporary Fiction,"$55,000,000","$93,932,896","$69,905,321","$163,838,217"
27,"Dec 20, 2002",2002,Two Weeks Notice,Romantic Comedy,Live Action,Contemporary Fiction,"$60,000,000","$93,354,918","$105,688,391","$199,043,309"
28,"Apr 19, 2002",2002,Space Station,Documentary,Live Action,Factual,$0,"$93,231,060","$33,282,126","$126,513,186"
29,"Oct 4, 2002",2002,Red Dragon,Thriller/Suspense,Live Action,Contemporary Fiction,"$78,000,000","$92,955,420","$113,500,000","$206,455,420"
30,"Apr 19, 2002",2002,The Scorpion King,Action,Live Action,Fantasy,"$60,000,000","$90,580,000","$75,310,634","$165,890,634"
31,"Aug 7, 2002",2002,Spy Kids 2: The Island of Lost Dreams,Adventure,Live Action,Kids Fiction,"$38,000,000","$85,846,296","$33,875,000","$119,721,296"
32,"Mar 22, 2002",2002,Blade 2,Action,Live Action,Super Hero,"$54,000,000","$81,676,888","$72,661,713","$154,338,601"
33,"Jan 18, 2002",2002,Snow Dogs,Adventure,Live Action,Kids Fiction,"$32,000,000","$81,150,692","$35,747,336","$116,898,028"
34,"Mar 1, 2002",2002,We Were Soldiers,Drama,Live Action,Dramatization,"$70,000,000","$78,120,196","$36,538,066","$114,658,262"
35,"Dec 20, 2002",2002,Gangs of New York,Drama,Live Action,Historical Fiction,"$97,000,000","$77,730,500","$105,394,121","$183,124,621"
36,"Sep 13, 2002",2002,Barbershop,Comedy,Live Action,Contemporary Fiction,"$12,000,000","$75,781,642","$1,281,819","$77,063,461"
37,"Mar 29, 2002",2002,The Rookie,Drama,Live Action,Contemporary Fiction,"$22,000,000","$75,600,072","$4,891,444","$80,491,516"
38,"May 24, 2002",2002,Spirit: Stallion of the Cimarron,Adventure,Hand Animation,Kids Fiction,"$80,000,000","$73,215,310","$33,300,000","$106,515,310"
39,"Feb 15, 2002",2002,John Q.,Thriller/Suspense,Live Action,Contemporary Fiction,"$36,000,000","$71,026,631","$31,200,000","$102,226,631"
40,"Jun 7, 2002",2002,The Divine Secrets of the Ya-Ya Siste…,Comedy,Live Action,Contemporary Fiction,"$27,000,000","$69,586,544","$4,240,224","$73,826,768"
41,"May 24, 2002",2002,Insomnia,Thriller/Suspense,Live Action,Contemporary Fiction,"$46,000,000","$67,263,182","$46,359,317","$113,622,499"
42,"Apr 12, 2002",2002,Changing Lanes,Thriller/Suspense,Live Action,Contemporary Fiction,"$45,000,000","$66,790,248",$0,"$66,790,248"
43,"Dec 13, 2002",2002,About Schmidt,Drama,Live Action,Contemporary Fiction,"$30,000,000","$65,005,217","$42,049,267","$107,054,484"
44,"Jul 19, 2002",2002,Stuart Little 2,Adventure,Live Action,Kids Fiction,"$120,000,000","$64,956,806","$101,043,194","$166,000,000"
45,"Oct 25, 2002",2002,Jackass: The Movie,Documentary,Live Action,Contemporary Fiction,"$2,000,000","$64,282,312","$15,000,000","$79,282,312"
46,"Mar 8, 2002",2002,The Time Machine,Adventure,Live Action,Science Fiction,"$80,000,000","$56,684,819","$42,298,771","$98,983,590"
47,"Dec 13, 2002",2002,Drumline,Comedy,Live Action,Contemporary Fiction,"$20,000,000","$56,398,162",$713,"$56,398,875"
48,"Jan 25, 2002",2002,The Count of Monte Cristo,Adventure,Live Action,Historical Fiction,"$40,000,000","$54,228,104","$21,160,986","$75,389,090"
49,"May 8, 2002",2002,Unfaithful,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$52,752,475","$66,362,019","$119,114,494"
50,"Jul 3, 2002",2002,Like Mike,Adventure,Live Action,Kids Fiction,"$30,000,000","$51,432,423","$11,000,000","$62,432,423"
51,"Sep 27, 2002",2002,The Tuxedo,Action,Live Action,Science Fiction,"$60,000,000","$50,586,000","$53,843,625","$104,429,625"
52,"Feb 15, 2002",2002,Peter Pan: Return to Neverland,Adventure,Hand Animation,Kids Fiction,"$20,000,000","$48,430,258","$61,432,424","$109,862,682"
53,"Feb 8, 2002",2002,Big Fat Liar,Adventure,Live Action,Contemporary Fiction,"$15,000,000","$47,811,275","$4,649,742","$52,461,017"
54,"Dec 13, 2002",2002,Star Trek: Nemesis,Adventure,Live Action,Science Fiction,"$60,000,000","$43,254,409","$24,058,417","$67,312,826"
55,"Feb 19, 2002",2002,Reign of Fire,Action,Animation/Live Action,Fantasy,"$60,000,000","$43,061,982","$39,088,201","$82,150,183"
56,"Dec 27, 2002",2002,The Hours,Drama,Live Action,Historical Fiction,"$25,000,000","$41,675,994","$55,354,474","$97,030,468"
57,"Apr 5, 2002",2002,High Crimes,Thriller/Suspense,Live Action,Contemporary Fiction,"$42,000,000","$41,543,207","$22,237,893","$63,781,100"
58,"Jan 25, 2002",2002,A Walk to Remember,Drama,Live Action,Contemporary Fiction,"$11,000,000","$41,227,069","$4,833,792","$46,060,861"
59,"Jan 11, 2002",2002,Orange County,Comedy,Live Action,Contemporary Fiction,"$18,000,000","$41,059,716","$2,248,991","$43,308,707"
60,"Jun 14, 2002",2002,Windtalkers,Action,Live Action,Historical Fiction,"$115,000,000","$40,914,068","$36,714,197","$77,628,265"
61,"May 17, 2002",2002,About a Boy,Romantic Comedy,Live Action,Contemporary Fiction,"$27,000,000","$40,803,000","$89,956,651","$130,759,651"
62,"Aug 2, 2002",2002,The Master of Disguise,Adventure,Live Action,Kids Fiction,"$16,000,000","$40,363,530",$0,"$40,363,530"
63,"Mar 15, 2002",2002,Resident Evil,Horror,Live Action,Science Fiction,"$35,000,000","$40,119,709","$63,667,692","$103,787,401"
64,"Aug 16, 2002",2002,Blue Crush,Drama,Live Action,Contemporary Fiction,"$30,000,000","$40,118,420","$11,500,000","$51,618,420"
65,"Dec 20, 2002",2002,The Wild Thornberrys Movie,Adventure,Hand Animation,Kids Fiction,"$25,000,000","$40,108,697","$20,586,040","$60,694,737"
66,"Feb 8, 2002",2002,Collateral Damage,Action,Live Action,Contemporary Fiction,"$85,000,000","$40,048,332","$38,305,176","$78,353,508"
67,"May 24, 2002",2002,Enough,Thriller/Suspense,Live Action,Contemporary Fiction,"$38,000,000","$39,177,215","$11,793,445","$50,970,660"
68,"May 31, 2002",2002,Undercover Brother,Comedy,Live Action,Contemporary Fiction,"$25,000,000","$38,230,435","$2,565,710","$40,796,145"
69,"Nov 27, 2002",2002,Treasure Planet,Adventure,Hand Animation,Kids Fiction,"$100,000,000","$38,120,554","$53,679,446","$91,800,000"
70,"Mar 15, 2002",2002,Showtime,Comedy,Live Action,Contemporary Fiction,"$85,000,000","$37,948,765","$41,000,000","$78,948,765"
71,"Mar 1, 2002",2002,40 Days and 40 Nights,Romantic Comedy,Live Action,Contemporary Fiction,"$17,000,000","$37,939,782","$57,152,885","$95,092,667"
72,"Feb 15, 2002",2002,Crossroads,Drama,Live Action,Contemporary Fiction,"$12,000,000","$37,188,667","$19,811,333","$57,000,000"
73,"Mar 29, 2002",2002,Clockstoppers,Adventure,Live Action,Science Fiction,"$26,000,000","$36,985,501","$1,803,327","$38,788,828"
74,"Jan 25, 2002",2002,The Mothman Prophecies,Horror,Live Action,Science Fiction,"$42,000,000","$35,228,696","$21,209,859","$56,438,555"
75,"Jul 19, 2002",2002,K-19: The Widowmaker,Action,Live Action,Dramatization,"$90,000,000","$35,168,966","$30,547,160","$65,716,126"
76,"Dec 13, 2002",2002,The Hot Chick,Comedy,Live Action,Contemporary Fiction,$0,"$35,081,550","$19,557,959","$54,639,509"
77,"Nov 1, 2002",2002,I Spy,Action,Live Action,Contemporary Fiction,"$70,000,000","$33,561,137","$26,718,685","$60,279,822"
78,"Nov 22, 2002",2002,Friday After Next,Comedy,Live Action,Contemporary Fiction,"$10,000,000","$33,253,609","$273,226","$33,526,835"
79,"Dec 27, 2002",2002,The Pianist,Drama,Live Action,Dramatization,"$35,000,000","$32,519,322","$79,334,860","$111,854,182"
80,"Dec 6, 2002",2002,Analyze That,Comedy,Live Action,Contemporary Fiction,"$60,000,000","$32,122,249","$22,872,508","$54,994,757"
81,"Apr 19, 2002",2002,Murder by Numbers,Thriller/Suspense,Live Action,Contemporary Fiction,"$50,000,000","$31,874,869","$24,768,398","$56,643,267"
82,"Aug 21, 2002",2002,One Hour Photo,Thriller/Suspense,Live Action,Contemporary Fiction,"$12,000,000","$31,597,131","$20,626,175","$52,223,306"
83,"Feb 22, 2002",2002,Queen of the Damned,Horror,Live Action,Fantasy,"$35,000,000","$30,307,804",$0,"$30,307,804"
84,"Sep 20, 2002",2002,The Banger Sisters,Comedy,Live Action,Contemporary Fiction,"$10,000,000","$30,306,281","$7,760,937","$38,067,218"
85,"Jul 12, 2002",2002,Halloween: Resurrection,Horror,Live Action,Contemporary Fiction,"$15,000,000","$30,259,652","$7,400,000","$37,659,652"
86,"Jun 7, 2002",2002,Bad Company,Action,Live Action,Contemporary Fiction,"$70,000,000","$30,157,016","$39,000,000","$69,157,016"
87,"Oct 25, 2002",2002,Ghost Ship,Horror,Live Action,Contemporary Fiction,"$20,000,000","$30,113,491","$38,236,393","$68,349,884"
88,"Feb 22, 2002",2002,Dragonfly,Thriller/Suspense,Live Action,Fantasy,"$60,000,000","$30,063,805","$253,620","$30,317,425"
