release_date,release_year,title,genre,production_method,creative_type,budget,domestic_gross,international_gross,worldwide_gross,release_month
2002-09-27,2002,Sweet Home Alabama,Comedy,Live Action,Contemporary Fiction,38000000,127214072,55151042,182365114,September
2002-06-28,2002,Mr. Deeds,Comedy,Live Action,Contemporary Fiction,50000000,126293452,44976083,171269535,June
2002-06-14,2002,The Bourne Identity,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,121468960,92888411,214357371,June
2002-05-31,2002,The Sum of All Fears,Action,Live Action,Contemporary Fiction,68000000,118471320,75028680,193500000,May
2002-11-08,2002,8 Mile,Drama,Live Action,Contemporary Fiction,41000000,116724075,129044309,245768384,November
2002-07-12,2002,Road to Perdition,Drama,Live Action,Historical Fiction,80000000,104054514,79300000,183354514,July
2002-03-29,2002,Panic Room,Thriller/Suspense,Live Action,Contemporary Fiction,48000000,95308367,101000000,196308367,March
2002-12-13,2002,Maid in Manhattan,Romantic Comedy,Live Action,Contemporary Fiction,55000000,93932896,69905321,163838217,December
2002-12-20,2002,Two Weeks Notice,Romantic Comedy,Live Action,Contemporary Fiction,60000000,93354918,105688391,199043309,December
2002-04-19,2002,Space Station,Documentary,Live Action,Factual,0,93231060,33282126,126513186,April
2002-10-04,2002,Red Dragon,Thriller/Suspense,Live Action,Contemporary Fiction,78000000,92955420,113500000,206455420,October
2002-04-19,2002,The Scorpion King,Action,Live Action,Fantasy,60000000,90580000,75310634,165890634,April
2002-08-07,2002,Spy Kids 2: The Island of Lost Dreams,Adventure,Live Action,Kids Fiction,38000000,85846296,33875000,119721296,August
2002-03-22,2002,Blade 2,Action,Live Action,Super Hero,54000000,81676888,72661713,154338601,March
2002-01-18,2002,Snow Dogs,Adventure,Live Action,Kids Fiction,32000000,81150692,35747336,116898028,January
2002-03-01,2002,We Were Soldiers,Drama,Live Action,Dramatization,70000000,78120196,36538066,114658262,March
2002-12-20,2002,Gangs of New York,Drama,Live Action,Historical Fiction,97000000,77730500,105394121,183124621,December
2002-09-13,2002,Barbershop,Comedy,Live Action,Contemporary Fiction,12000000,75781642,1281819,77063461,September
2002-03-29,2002,The Rookie,Drama,Live Action,Contemporary Fiction,22000000,75600072,4891444,80491516,March
2002-05-24,2002,Spirit: Stallion of the Cimarron,Adventure,Hand Animation,Kids Fiction,80000000,73215310,33300000,106515310,May
2002-02-15,2002,John Q.,Thriller/Suspense,Live Action,Contemporary Fiction,36000000,71026631,31200000,102226631,February
2002-06-07,2002,The Divine Secrets of the Ya-Ya Siste…,Comedy,Live Action,Contemporary Fiction,27000000,69586544,4240224,73826768,June
2002-05-24,2002,Insomnia,Thriller/Suspense,Live Action,Contemporary Fiction,46000000,67263182,46359317,113622499,May
2002-04-12,2002,Changing Lanes,Thriller/Suspense,Live Action,Contemporary Fiction,45000000,66790248,0,66790248,April
2002-12-13,2002,About Schmidt,Drama,Live Action,Contemporary Fiction,30000000,65005217,42049267,107054484,December
2002-07-19,2002,Stuart Little 2,Adventure,Live Action,Kids Fiction,120000000,64956806,101043194,166000000,July
2002-10-25,2002,Jackass: The Movie,Documentary,Live Action,Contemporary Fiction,2000000,64282312,15000000,79282312,October
2002-03-08,2002,The Time Machine,Adventure,Live Action,Science Fiction,80000000,56684819,42298771,98983590,March
2002-12-13,2002,Drumline,Comedy,Live Action,Contemporary Fiction,20000000,56398162,713,56398875,December
2002-01-25,2002,The Count of Monte Cristo,Adventure,Live Action,Historical Fiction,40000000,54228104,21160986,75389090,January
2002-05-08,2002,Unfaithful,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,52752475,66362019,119114494,May
2002-07-03,2002,Like Mike,Adventure,Live Action,Kids Fiction,30000000,51432423,11000000,62432423,July
2002-09-27,2002,The Tuxedo,Action,Live Action,Science Fiction,60000000,50586000,53843625,104429625,September
2002-02-15,2002,Peter Pan: Return to Neverland,Adventure,Hand Animation,Kids Fiction,20000000,48430258,61432424,109862682,February
2002-02-08,2002,Big Fat Liar,Adventure,Live Action,Contemporary Fiction,15000000,47811275,4649742,52461017,February
2002-12-13,2002,Star Trek: Nemesis,Adventure,Live Action,Science Fiction,60000000,43254409,24058417,67312826,December
2002-02-19,2002,Reign of Fire,Action,Animation/Live Action,Fantasy,60000000,43061982,39088201,82150183,February
2002-12-27,2002,The Hours,Drama,Live Action,Historical Fiction,25000000,41675994,55354474,97030468,December
2002-04-05,2002,High Crimes,Thriller/Suspense,Live Action,Contemporary Fiction,42000000,41543207,22237893,63781100,April
2002-01-25,2002,A Walk to Remember,Drama,Live Action,Contemporary Fiction,11000000,41227069,4833792,46060861,January
2002-01-11,2002,Orange County,Comedy,Live Action,Contemporary Fiction,18000000,41059716,2248991,43308707,January
2002-06-14,2002,Windtalkers,Action,Live Action,Historical Fiction,115000000,40914068,36714197,77628265,June
2002-05-17,2002,About a Boy,Romantic Comedy,Live Action,Contemporary Fiction,27000000,40803000,89956651,130759651,May
2002-08-02,2002,The Master of Disguise,Adventure,Live Action,Kids Fiction,16000000,40363530,0,40363530,August
2002-03-15,2002,Resident Evil,Horror,Live Action,Science Fiction,35000000,40119709,63667692,103787401,March
2002-08-16,2002,Blue Crush,Drama,Live Action,Contemporary Fiction,30000000,40118420,11500000,51618420,August
2002-12-20,2002,The Wild Thornberrys Movie,Adventure,Hand Animation,Kids Fiction,25000000,40108697,20586040,60694737,December
2002-02-08,2002,Collateral Damage,Action,Live Action,Contemporary Fiction,85000000,40048332,38305176,78353508,February
2002-05-24,2002,Enough,Thriller/Suspense,Live Action,Contemporary Fiction,38000000,39177215,11793445,50970660,May
2002-05-31,2002,Undercover Brother,Comedy,Live Action,Contemporary Fiction,25000000,38230435,2565710,40796145,May
2002-11-27,2002,Treasure Planet,Adventure,Hand Animation,Kids Fiction,100000000,38120554,53679446,91800000,November
2002-03-15,2002,Showtime,Comedy,Live Action,Contemporary Fiction,85000000,37948765,41000000,78948765,March
2002-03-01,2002,40 Days and 40 Nights,Romantic Comedy,Live Action,Contemporary Fiction,17000000,37939782,57152885,95092667,March
2002-02-15,2002,Crossroads,Drama,Live Action,Contemporary Fiction,12000000,37188667,19811333,57000000,February
2002-03-29,2002,Clockstoppers,Adventure,Live Action,Science Fiction,26000000,36985501,1803327,38788828,March
2002-01-25,2002,The Mothman Prophecies,Horror,Live Action,Science Fiction,42000000,35228696,21209859,56438555,January
2002-07-19,2002,K-19: The Widowmaker,Action,Live Action,Dramatization,90000000,35168966,30547160,65716126,July
2002-12-13,2002,The Hot Chick,Comedy,Live Action,Contemporary Fiction,0,35081550,19557959,54639509,December
2002-11-01,2002,I Spy,Action,Live Action,Contemporary Fiction,70000000,33561137,26718685,60279822,November
2002-11-22,2002,Friday After Next,Comedy,Live Action,Contemporary Fiction,10000000,33253609,273226,33526835,November
2002-12-27,2002,The Pianist,Drama,Live Action,Dramatization,35000000,32519322,79334860,111854182,December
2002-12-06,2002,Analyze That,Comedy,Live Action,Contemporary Fiction,60000000,32122249,22872508,54994757,December
2002-04-19,2002,Murder by Numbers,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,31874869,24768398,56643267,April
2002-08-21,2002,One Hour Photo,Thriller/Suspense,Live Action,Contemporary Fiction,12000000,31597131,20626175,52223306,August
2002-02-22,2002,Queen of the Damned,Horror,Live Action,Fantasy,35000000,30307804,0,30307804,February
2002-09-20,2002,The Banger Sisters,Comedy,Live Action,Contemporary Fiction,10000000,30306281,7760937,38067218,September
2002-07-12,2002,Halloween: Resurrection,Horror,Live Action,Contemporary Fiction,15000000,30259652,7400000,37659652,July
2002-06-07,2002,Bad Company,Action,Live Action,Contemporary Fiction,70000000,30157016,39000000,69157016,June
2002-10-25,2002,Ghost Ship,Horror,Live Action,Contemporary Fiction,20000000,30113491,38236393,68349884,October
2002-02-22,2002,Dragonfly,Thriller/Suspense,Live Action,Fantasy,60000000,30063805,253620,30317425,February
2002-05-10,2002,The New Guy,Comedy,Live Action,Contemporary Fiction,13000000,28972187,0,28972187,May
2002-09-06,2002,Swimfan,Thriller/Suspense,Live Action,Contemporary Fiction,10000000,28564995,5519233,34084228,September
2002-07-12,2002,The Crocodile Hunter: Collision Course,Adventure,Live Action,Contemporary Fiction,12500000,28436931,5000000,33436931,July
2002-10-11,2002,Brown Sugar,Romantic Comedy,Live Action,Contemporary Fiction,8000000,27362712,952560,28315272,October
2002-08-09,2002,Blood Work,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,26199517,0,26199517,August
2002-10-25,2002,Frida,Drama,Live Action,Dramatization,12000000,25885000,30246239,56131239,October
2002-10-04,2002,Jonah: A VeggieTales Movie,Adventure,Digital Animation,Kids Fiction,14000000,25571351,37428,25608779,October
2002-03-08,2002,All About the Benjamins,Comedy,Live Action,Contemporary Fiction,14000000,25482931,390214,25873145,March
2002-10-11,2002,The Transporter,Action,Live Action,Contemporary Fiction,21000000,25296447,18632485,43928932,October
2002-01-01,2002,The Sweetest Thing,Romantic Comedy,Live Action,Contemporary Fiction,43000000,24430272,38648484,63078756,January
2002-11-27,2002,Eight Crazy Nights,Musical,Hand Animation,Kids Fiction,0,23607202,0,23607202,November
2002-12-06,2002,Adaptation,Comedy,Live Action,Contemporary Fiction,18500000,22498520,10033236,32531756,December
2003-05-30,2003,Finding Nemo,Adventure,Digital Animation,Kids Fiction,94000000,380529370,555565482,936094852,May
2003-12-17,2003,The Lord of the Rings: The Return of …,Adventure,Animation/Live Action,Fantasy,94000000,379021990,742364991,1121386981,December
2003-07-09,2003,Pirates of the Caribbean: The Curse o…,Adventure,Live Action,Fantasy,140000000,305410819,348900000,654310819,July
2003-05-15,2003,The Matrix Reloaded,Action,Animation/Live Action,Science Fiction,150000000,281553689,457023240,738576929,May
2003-05-23,2003,Bruce Almighty,Comedy,Live Action,Contemporary Fiction,81000000,242704995,241763613,484468608,May
2003-05-02,2003,X-Men 2,Action,Live Action,Super Hero,125000000,214949694,191398936,406348630,May
2003-11-07,2003,Elf,Comedy,Live Action,Kids Fiction,32000000,178100000,46812848,224912848,November
2003-07-01,2003,Terminator 3: Rise of the Machines,Action,Animation/Live Action,Science Fiction,170000000,150358296,282700000,433058296,July
2003-11-05,2003,The Matrix Revolutions,Action,Live Action,Science Fiction,150000000,139270910,288029350,427300260,November
2003-12-25,2003,Cheaper by the Dozen,Comedy,Live Action,Contemporary Fiction,40000000,138614544,51597569,190212113,December
2003-07-18,2003,Bad Boys II,Action,Live Action,Contemporary Fiction,130000000,138540870,134731112,273271982,July
2003-04-11,2003,Anger Management,Comedy,Live Action,Contemporary Fiction,56000000,135560942,59923610,195484552,April
2003-03-07,2003,Bringing Down the House,Comedy,Live Action,Contemporary Fiction,20000000,132675402,32000000,164675402,March
2003-06-20,2003,Hulk,Action,Live Action,Super Hero,137000000,132177234,112854445,245031679,June
2003-06-06,2003,2 Fast 2 Furious,Action,Live Action,Contemporary Fiction,76000000,127120058,109290549,236410607,June
2003-12-12,2003,Something's Gotta Give,Romantic Comedy,Live Action,Contemporary Fiction,80000000,124685242,142000000,266685242,December
2003-07-25,2003,Seabiscuit,Drama,Live Action,Dramatization,86000000,120277854,28437488,148715342,July
2003-08-08,2003,S.W.A.T.,Action,Live Action,Contemporary Fiction,70000000,116877597,90277151,207154748,August
2003-07-25,2003,Spy Kids 3-D: Game Over,Adventure,Live Action,Kids Fiction,40000000,111760631,56091364,167851995,July
2003-12-05,2003,The Last Samurai,Action,Live Action,Historical Fiction,140000000,111110575,345700000,456810575,December
2003-08-06,2003,Freaky Friday,Comedy,Live Action,Contemporary Fiction,26000000,110222438,50600000,160822438,August
2003-10-24,2003,Scary Movie 3,Comedy,Live Action,Contemporary Fiction,45000000,110000082,45199918,155200000,October
2003-05-30,2003,The Italian Job,Adventure,Live Action,Contemporary Fiction,60000000,106126012,70136827,176262839,May
2003-02-07,2003,How to Lose a Guy in 10 Days,Romantic Comedy,Live Action,Contemporary Fiction,50000000,105807520,72696268,178503788,February
2003-08-01,2003,American Wedding,Comedy,Live Action,Contemporary Fiction,55000000,104354205,128000000,232354205,August
2003-05-09,2003,Daddy Day Care,Comedy,Live Action,Contemporary Fiction,60000000,104148781,60136806,164285587,May
2003-02-14,2003,Daredevil,Action,Live Action,Super Hero,80000000,102543518,80239000,182782518,February
2003-11-21,2003,Dr. Seuss’ The Cat in the Hat,Adventure,Live Action,Kids Fiction,109000000,101018283,32800000,133818283,November
2003-06-27,2003,Charlie's Angels: Full Throttle,Action,Live Action,Contemporary Fiction,120000000,100814328,126348945,227163273,June
2003-12-25,2003,Cold Mountain,Drama,Live Action,Historical Fiction,80000000,95632614,69541295,165173909,December
2003-11-14,2003,Master and Commander: The Far Side of…,Adventure,Live Action,Historical Fiction,135000000,93926386,118985751,212912137,November
2003-07-02,2003,"Legally Blonde 2: Red, White & Blonde",Comedy,Live Action,Contemporary Fiction,25000000,90639088,34700000,125339088,July
2003-10-08,2003,Mystic River,Drama,Live Action,Contemporary Fiction,30000000,90135191,66686829,156822020,October
2003-10-24,2003,Brother Bear,Adventure,Hand Animation,Kids Fiction,46000000,85336277,165061521,250397798,October
2003-08-15,2003,Freddy vs. Jason,Horror,Live Action,Contemporary Fiction,25000000,82622655,31953748,114576403,August
2003-10-03,2003,School of Rock,Comedy,Live Action,Contemporary Fiction,20000000,81261177,50683495,131944672,October
2003-10-17,2003,The Texas Chainsaw Massacre,Horror,Live Action,Historical Fiction,9000000,80571655,27395664,107967319,October
2003-11-26,2003,The Haunted Mansion,Adventure,Live Action,Kids Fiction,90000000,75817994,79932634,155750628,November
2003-02-21,2003,Old School,Comedy,Live Action,Contemporary Fiction,24000000,75155000,11582464,86737464,February
2003-10-10,2003,Kill Bill: Volume 1,Action,Live Action,Contemporary Fiction,55000000,70098138,106371290,176469428,October
2003-04-18,2003,Holes,Adventure,Live Action,Contemporary Fiction,20000000,67383924,3848290,71232214,April
2003-01-17,2003,Kangaroo Jack,Adventure,Live Action,Kids Fiction,60000000,66723216,23835366,90558582,January
2003-07-11,2003,The League of Extraordinary Gentlemen,Adventure,Live Action,Super Hero,78000000,66465204,112800000,179265204,July
2003-12-10,2003,Big Fish,Drama,Live Action,Contemporary Fiction,70000000,66432867,57521456,123954323,December
2003-07-25,2003,Lara Croft: Tomb Raider: The Cradle o…,Adventure,Live Action,Contemporary Fiction,90000000,65653758,91439185,157092943,July
2003-12-19,2003,Mona Lisa Smile,Drama,Live Action,Historical Fiction,65000000,63803100,77402069,141205169,December
2003-02-07,2003,Shanghai Knights,Western,Live Action,Historical Fiction,50000000,60470220,27846615,88316835,February
